country,public_holiday
Argentina,2016-05-01
Argentina,2016-05-25
Argentina,2016-06-20
Argentina,2016-07-09
Argentina,2016-08-15
Argentina,2016-08-15
Argentina,2016-10-10
Australia,2016-05-15
Australia,2016-06-13
Austria,2016-05-01
Austria,2016-05-05
Austria,2016-05-15
Austria,2016-05-16
Austria,2016-05-26
Austria,2016-08-01
Austria,2016-08-15
Brazil,2016-05-01
Brazil,2016-09-07
Brazil,2016-10-12
Canada,2016-05-23
Canada,2016-06-24
Canada,2016-07-01
Canada,2016-09-05
Canada,2016-10-10
Chile,2016-05-01
Chile,2016-05-05
Chile,2016-05-08
Chile,2016-06-01
Chile,2016-09-13
Chile,2016-09-15
Chile,2016-09-16
Chile,2016-09-27
Chile,2016-09-30
Chile,2016-10-12
Colombia,2016-05-01
Colombia,2016-05-08
Colombia,2016-05-09
Colombia,2016-05-30
Colombia,2016-06-06
Colombia,2016-07-04
Colombia,2016-07-20
Colombia,2016-08-07
Colombia,2016-08-15
Colombia,2016-10-17
Ecuador,2016-05-01
Ecuador,2016-05-24
Ecuador,2016-07-24
Ecuador,2016-07-25
Ecuador,2016-08-10
Ecuador,2016-10-09
Finland,2016-05-01
Finland,2016-05-05
Finland,2016-05-08
Finland,2016-05-15
Finland,2016-05-15
Finland,2016-05-22
Finland,2016-06-25
Finland,2016-07-10
Finland,2016-10-02
France,2016-05-01
France,2016-05-05
France,2016-05-08
France,2016-05-15
France,2016-05-16
France,2016-07-14
France,2016-08-15
Germany,2016-05-01
Germany,2016-05-05
Germany,2016-05-15
Germany,2016-05-16
Germany,2016-05-26
Germany,2016-10-03
Ireland,2016-05-02
Ireland,2016-05-02
Ireland,2016-06-06
Ireland,2016-08-01
Ireland,2016-08-01
Ireland,2016-10-31
Italy,2016-05-01
Italy,2016-06-02
Italy,2016-08-15
Mexico,2016-05-01
Mexico,2016-06-29
Mexico,2016-07-28
Mexico,2016-08-15
Mexico,2016-08-30
Mexico,2016-10-08
Netherlands,2016-05-01
Netherlands,2016-05-01
Netherlands,2016-05-05
Netherlands,2016-05-05
Netherlands,2016-05-15
Netherlands,2016-05-15
Netherlands,2016-05-16
Netherlands,2016-05-16
Netherlands,2016-07-21
Netherlands,2016-08-15
New Zealand,2016-06-06
New Zealand,2016-10-24
Peru,2016-05-01
Peru,2016-05-21
Peru,2016-06-07
Peru,2016-06-29
Peru,2016-07-16
Peru,2016-08-15
Peru,2016-09-18
Peru,2016-09-19
Peru,2016-10-12
Peru,2016-10-31
Portugal,2016-05-01
Portugal,2016-05-26
Portugal,2016-06-10
Portugal,2016-08-15
Portugal,2016-10-05
South Africa,2016-05-01
South Africa,2016-05-02
South Africa,2016-06-16
South Africa,2016-08-09
South Africa,2016-09-24
Spain,2016-05-01
Spain,2016-08-15
Spain,2016-10-12
Sweden,2016-05-01
Sweden,2016-05-05
Sweden,2016-05-15
Sweden,2016-06-06
Sweden,2016-06-25
Switzerland,2016-05-01
Switzerland,2016-05-05
Switzerland,2016-05-15
Switzerland,2016-05-16
Switzerland,2016-05-26
Switzerland,2016-08-15
Switzerland,2016-10-26
United Kingdom,2016-05-02
United Kingdom,2016-05-30
United Kingdom,2016-08-29
USA,2016-05-30
USA,2016-07-04
USA,2016-09-05
USA,2016-10-10
Venezuela,2016-05-01
Venezuela,2016-06-24
Venezuela,2016-07-05
Venezuela,2016-07-24
Venezuela,2016-08-03
Venezuela,2016-08-15
Venezuela,2016-10-12
